Sr. No,Newspaper Name,Published Date,URL,Headline,Content,Human Summary,Category
76,Hindustan Times,01/01/2020,https://www.hindustantimes.com/videos/india-news/india-gate-traffic-jamvideo/video-Gxnqb0EpYpUNUssg1kOgfM.html,"Facing criticism, Govt withdraws new draft of broadcast Bill",Lakhs of revellers thronged India Gate to celebrate the new year and triggered major traffic snarls around the heart of Delhi Wednesday evening. The Delhi Metro closed entry and exit gates at five stations around India Gate in the evening for an hour to ease rush of passengers on the first day of the year. The capital's landmark monument also drew hordes of anti-Citizenship Amendment Act protesters who took a mass pledge to defend the Constitution by opposing the amended citizenship law.,"New Year's Eve in Delhi:

Thousands of people gathered at India Gate in Delhi to celebrate the new year. This caused heavy traffic congestion in the area. To manage the crowd, the Delhi Metro temporarily closed five stations near India Gate. At the same time, there was also a large gathering of people protesting against the Citizenship Amendment Act at India Gate. They took an oath to protect the Constitution and oppose the law.",National News
77,Hindustan Times,02/01/2020,https://www.hindustantimes.com/cities/27-year-old-sangrur-nurse-found-murdered-in-chandigarh-hotel/story-N8tQ34jEopf5hSCdxLMb4O.html,27-year-old Sangrur nurse found murdered in Chandigarh hotel,"Identified as Sarabjit Kaur, her body was found lying on the bed in room number 301 on the third floor of Hotel Sky in the afternoon, said police. Sarabjit was working at Grecian Super Specialty Hospital in Sector 69, Mohali. However, she was on leave for the past one month due to her brother’s wedding, said police.

The victim had checked into the hotel room along with one Maninder Singh — a murder convict and prime suspect — in the evening on December 30.

“The receptionist made a call to the room post noon to inquire about the couple’s checkout timings. However, no one answered the phone. Then, a call was made on Maninder’s mobile phone number, but it was switched off,” said Rajiv, hotel’s general manager. When a room service staffer, Sumit, knocked on the door of their room, nobody responded, said Rajiv, adding that the door was locked from the outside.

“On opening the door with a master key, Sumit found the woman covered in a blanket with blood around her neck. He raised the alarm and police were informed,” said the general manager.

Sarabjit had a deep cut on her neck and there was froth coming out of her mouth, said an investigating official, on the condition of anonymity as he was not authorised to talk to media","A woman named Sarabjit Kaur was found dead in her hotel room in Mohali, India. She had checked into the hotel with a man named Maninder Singh, who is a convicted murderer. The woman was discovered with a deep cut on her neck and froth coming from her mouth. Police suspect Maninder Singh is the prime suspect in the murder.",Crime and Justice
78,Hindustan Times,03/01/2020,https://www.hindustantimes.com/india-news/china-urges-restraint-especially-from-us-after-qasem-soleimani-s-death/story-j9iVjGtNtQWcq1rSX7orMJ.html,"China urges restraint, especially from US, after Qasem Soleimani’s death","China on Friday appealed for restraint from all sides, especially from the US, and said it opposes the use of force in international relations after Iranian Islamic Revolutionary Guard Corps (IRGC) commander Qasem Soleimani was killed in the US strike in Iraq. “China has always opposed the use of force in international relations,” Chinese foreign ministry spokesman Geng Shuang said at the regular ministry press briefing on Friday.
“We urge the relevant sides, especially the US, to remain calm and exercise restraint to avoid further escalating tensions,” Geng said.

Geng said all sides should abide by the principles of the UN and the “basic norms of international relations”. On Iraq, he said the country’s sovereignty, independence and territorial integrity must be respected.

Just earlier this week, China’s foreign minister Wang Yi told Iranian counterpart, Mohammad Javad Zarif, that Beijing and Tehran should stand together against “unilateralism and bullying” – targeting Washington.

Wang met Zarif in Beijing following joint naval drills between Iran, China and Russia in the Indian Ocean and the Gulf of Oman last week.",China has urged the US and other countries to remain calm and avoid further escalating tensions following the killing of Iranian General Qasem Soleimani in a US airstrike. China opposes the use of force in international relations and has called for respect for Iraq's sovereignty and independence.,International News
79,Hindustan Times,04/01/2020,https://www.hindustantimes.com/world-news/jakarta-flooding-deaths-rise-to-53-nearly-175-000-displaced/story-A23eY5klJFvGtWTf9XXHJK.html,"Jakarta flooding deaths rise to 53, nearly 175,000 displaced","Swathes of Jakarta and nearby towns were inundated after heavy rain fell on Dec. 31 and into the early hours of New Year’s Day. Nearly 175,000 people remain displaced in Indonesia’s capital Jakarta and nearby towns, after flash floods and landslides killed at least 53 people, amid some of the heaviest rain since records began, authorities said on Saturday.
“The death toll has risen to 53 people, with one person missing,” disaster mitigation agency spokesman Agus Wibowo said.
Data from the disaster mitigation agency showed 173,064 residents remain evacuated from their homes on Saturday, after the deadliest flooding in years caused chaos in parts of Southeast Asia’s biggest city, with train lines blocked and power outages in some areas.

Swathes of Jakarta and nearby towns were inundated after heavy rain fell on Dec. 31 and into the early hours of New Year’s Day.","Heavy rains in Jakarta, Indonesia, on New Year's Eve led to flash floods and landslides that killed at least 53 people. Over 170,000 people remain displaced due to the flooding, which caused widespread damage and disruption in the city.",International News
80,Hindustan Times,05/01/2020,https://www.hindustantimes.com/mumbai-news/umar-khalid-dares-centre-to-take-action-against-tukde-tukde-gang/story-q12LmIQc4afS0sw5L7j7zJ.html,Ex-JNU student leader Umar Khalid dares Centre to take action against ‘tukde tukde’ gang,"Khalid was speaking at the anti-Citizenship (Amendment) Act (CAA) and National Register of Citizens (NRC) gathering organised by student organisation Chhatra Bharti, at Mumbai’s YB Chavan Centre on Sunday. Former Jawaharlal Nehru University (JNU) student leader Umar Khalid on Sunday dared Union Home minister Amit Shah to file a court case over ‘tukde tukde speeches’ made on the Delhi varsity campus. The activist was speaking at the anti-Citizenship (Amendment) Act (CAA) and National Register of Citizens (NRC) gathering organised by student organisation Chhatra Bharti, at Mumbai’s YB Chavan Centre on Sunday.

Khalid’s statement was in reference to Shah’s comment on punishing the “tukde tukde gang” in Delhi. A controversial slogan: “Bharat tere tukde tukde honge (India, you will be broken into pieces)” was allegedly raised during an event organised at JNU in 2016.

Addressing the audience, he said he would not have shared the stage with Shiv Sena minister Aaditya Thackeray, who was also expected to make an appearance. The activist was speaking at the anti-Citizenship (Amendment) Act (CAA) and National Register of Citizens (NRC) gathering organised by student organisation Chhatra Bharti, at Mumbai’s YB Chavan Centre on Sunday.

Khalid’s statement was in reference to Shah’s comment on punishing the “tukde tukde gang” in Delhi. A controversial slogan: “Bharat tere tukde tukde honge (India, you will be broken into pieces)” was allegedly raised during an event organised at JNU in 2016.

Addressing the audience, he said he would not have shared the stage with Shiv Sena minister Aaditya Thackeray, who was also expected to make an appearance.",Former Jawaharlal Nehru University (JNU) student leader Umar Khalid on Sunday dared Union Home minister Amit Shah to file a court case over ‘tukde tukde speeches’ made on the Delhi varsity campus.,National News
81,Hindustan Times,06/01/2020,https://www.hindustantimes.com/india-news/india-calls-for-action-after-sikh-man-shot-dead-in-pak/story-FskMClCGQqMPvgBuIYqq2M.html,India calls for action after Sikh man shot dead in Pak,"Singh reportedly worked in Malaysia and returned to his home at Shangla in Khyber-Pakhtunkhwa province last month to get married. A young Sikh man was shot dead in the northwestern Pakistani city of Peshawar a day after an angry mob threatened to storm the Nankana Sahib Gurdwara, prompting India on Sunday to call on Pakistan to take immediate action against the perpetrators of such “heinous acts”.The body of Ravinder Singh, the 25-year-old brother of Harmeet Singh, the first Pakistani Sikh to join the electronic media, was found in a stormwater drain on Sunday with a bullet injury to the head, according to senior superintendent of police Sajjad Khan.","A Sikh man, Ravinder Singh, was found dead in Peshawar, Pakistan, with a gunshot wound. He was the brother of a prominent Pakistani Sikh journalist. The incident occurred just a day after a mob threatened to attack a Sikh gurdwara in the same city. India has condemned the violence and urged Pakistan to take swift action against the perpetrators.",Crime and Justice
82,Hindustan Times,07/01/2020,https://www.hindustantimes.com/india-news/india-us-ties-grown-from-strength-to-strength-pm-modi-in-new-year-call-to-trump/story-ybglYs9gvy6MXl4c4UepwN.html,India-US ties have grown from strength to strength’: PM in call to Trump,"The Prime Minister extended new year greetings to President Trump, his family and the people of the United States. India-US ties have grown from “strength to strength”, Prime Minister Narendra Modi told US President Donald Trump in a new year greeting call, the Prime Minister’s office said in a statement early on Tuesday morning.PM Modi stated India-US relations have grown from strength to strength. The PM highlighted significant progress made in deepening strategic partnership in previous year and expressed desire to continue to work with President Trump for enhancing cooperation in areas of mutual interest,” said the government.

The government said the US President also wished the people of India prosperity and progress in the new year.

“He (Trump) expressed satisfaction at the achievements in the relationship in the last few years and reiterated his readiness for further deepening bilateral cooperation,” said the government.","India-US ties have grown from “strength to strength”, Prime Minister Narendra Modi told US President Donald Trump in a new year greeting call, the Prime Minister’s office said in a statement early on Tuesday morning.",International News
83,Hindustan Times,08/01/2020,https://www.hindustantimes.com/delhi-news/35-year-old-up-man-flings-himself-in-front-of-metro-on-blue-line-dies/story-IQrE8Rz1YbzH2pjUVZqfaP.html,"35-year-old UP man flings himself in front of metro on Blue Line, dies","A 35-year-old man died in a hospital on Wednesday after attempting suicide at Dwarka Mor station on the Delhi Metro’s Blue Line, which connects Dwarka to Vaishali and Noida Electronic City. The man was rushed to Deen Dayal Upadhyay Hospital after he tried to kill himself by jumping on the tracks, the police said. He later died at the hospital, they added. The Delhi Metro Rail Corporation said on Twitter around noon that there is delay in services between Dwarka Sector 12 and Kirti Nagar due to a passenger on track at Dwarka Mor.  The services resumed after half an hour. The reason for his suicide is not known as no suicide note has been found, the police said. The man belonged to Ghazipur in Uttar Pradesh.

Data shows that between January 2018 and May 2019, 25 people have attempted suicides on the Delhi Metro tracks. Between 2014 and 2018, 83 people have attempted suicides across all metro stations.","A 35-year-old man died after attempting suicide by jumping onto the tracks at Dwarka Mor metro station in Delhi. He was rushed to the hospital but later succumbed to his injuries. The incident caused delays in metro services between Dwarka Sector 12 and Kirti Nagar. Police are investigating the cause of his suicide as no suicide note was found.

The incident highlights the increasing number of suicide attempts on Delhi Metro tracks. Data shows that 25 people attempted suicide between January 2018 and May 2019, and 83 people attempted suicide between 2014 and 2018.",National News
84,Hindustan Times,09/01/2020,https://www.hindustantimes.com/world-news/u-s-iran-both-appear-to-signal-desire-to-avoid-further-conflict/story-SSZmFxZ0mddBb02wWpuBSO.html,"U.S., Iran both appear to signal desire to avoid further conflict","President Donald Trump on Wednesday tempered days of angry rhetoric and suggested Iran was “standing down” after it fired missiles at U.S. forces in Iraq, as both sides looked to defuse a crisis over the U.S. killing of an Iranian general. Trump said no Americans were hurt in the overnight attacks. The Pentagon said Iran had launched 16 short-range ballistic missiles, at least 11 of which hit Iraq’s al-Asad air base and one that hit a facility in Erbil but caused no major damage.

“The fact that we have this great military and equipment, however, does not mean we have to use it. We do not want to use it. American strength, both military and economic, is the best deterrent,” Trump said. “Our great American forces are prepared for anything. Iran appears to be standing down, which is a good thing for all parties concerned and a very good thing for the world,” he said.

Trump said the United States “will immediately impose additional punishing economic sanctions on the Iranian regime” in response to what he called “Iranian aggression.” He offered no specifics.

Iranian Supreme Leader Ayatollah Ali Khamenei, addressing a gathering of Iranians chanting “Death to America,” said the missile attacks were a “slap on the face” of the United States and said U.S. troops should leave the region.",U.S. and European government sources said they believed Iran had deliberately sought to avoid U.S. military casualties in its missile strikes to prevent an escalation.,International News
85,Hindustan Times,10/01/2020,https://www.hindustantimes.com/india-news/citizenship-amendment-act-passed-by-parliament-last-month-comes-into-force-from-today-mha/story-tntScgjctQAmpcB1FLVdPL.html,"Citizenship Act, passed by Parliament last month, comes into effect","“In exercise of the powers conferred by sub-section (2) of the section 1 of the Citizenship (Amendment) Act, 2019 (47 of 2019), the Central government hereby appoints the 10th day of January, 2020, as the date on which the provisions of the said Act shall come into force,” the notification said.

The CAA was passed by parliament on December 11 last year.

Critics say that the Act is discriminatory and violates Article 14 of the Constitution, however, PM Modi and Home Minister Amit Shah have on several occasions underlined that it only provides a refuge to the six communities who have faced religious persecution in the three countries mentioned above.Amid raging protests across the country over the Act, the home minister made it clear that the government won’t move back even an inch on the Act. The government has been saying that the minority groups from the three countries have no other option but to come India when they face religious persecution there.

The home ministry, however, is yet to frame the rules for the act.","The Citizenship (Amendment) Act (CAA) came into effect on January 10, 2020. It aims to provide citizenship to minority groups from Pakistan, Bangladesh, and Afghanistan who have faced religious persecution. Critics argue that the CAA is discriminatory and violates the Indian Constitution. The government, however, maintains that the Act is necessary to protect these persecuted minorities and has refused to back down despite widespread protests. The rules for implementing the CAA have not yet been finalized.",National News
86,Hindustan Times,11/01/2020,https://www.hindustantimes.com/india-news/pm-modi-to-inaugurate-4-buildings-in-kolkata/story-UpCnifwiC4BuuLt0G4awsO.html,"PM Modi to begin two-day visit to Kolkata, inaugurate 4 revamped buildings","Prime Minister Narendra Modi will visit Kolkata on Saturday to inaugurate four revamped iconic Kolkata buildings — Old Currency Building, Belvedere House, the Metcalfe House and the Victoria Memorial Hall. He will be in the city for a two-day visit. The PM will also be part of sesquicentenary celebrations of the Kolkata Port Trust, where he will launch a port anthem and unveil a commemorative plaque for 150 years at the site of port jetties.

At the iconic Victoria Memorial, the Archeological Survey of India have used multani mitti (fuller’s earth) to clean the facade of the 99-year-old building. ₹59.96 crore was spent, and of the 25 total galleries, seven will open to the public, including the Royal Gallery which will reopen after 25 years. Several exhibitions, including one featuring the 1987 Jaipur Procession, known widely as the world’s second-largest oil painting, will be held in these galleries. At the Old Currency Building, a 187-year-old triple-storeyed structure built in Italian style with Venetian windows, renovation was done by removing years of paint to replace with rich lime plaster, and ACs and sensor glass doors installed. The Metcalfe House, where renovations focussed on the inner structure, drainage, and the wooden staircase, will open to an exhibition on a century of Bengali Cinema in collaboration with Film Heritage Foundation.","Prime Minister Narendra Modi will visit Kolkata on Saturday to inaugurate four revamped iconic Kolkata buildings — Old Currency Building, Belvedere House, the Metcalfe House and the Victoria Memorial Hall",National News
87,Hindustan Times,12/01/2020,https://www.hindustantimes.com/cities/mcepl-collected-600-cr-in-4-years-from-commuters-at-kherki-daula-toll-says-rti-reply/story-kW7huthX5EHhg0My8vBtFO.html,"MCEPL collected 600 cr in 4 years from commuters at Kherki Daula toll, says RTI reply","The RTI reply revealed that the concessionaire had collected ₹603.33 crore from November 1, 2015 to October 10, 2019. The reply by Punit Khanna, deputy manager (technical) also said that the expressway was a built-operate-transfer (BOT) project. The NHAI had sent its reply in November last year to an RTI filed by activist Aseem Takyar.

The MCEPL had taken over the toll following an order of the Delhi High Court in 2014, which also directed removal of Sirhaul toll plaza after commuters filed a petition complaining of daily congestion and traffic jams.

The MCEPL is a company owned by a consortium of banks that have financed the construction of the Delhi-Gurgaon expressway.","The concessionaire for the Delhi-Gurgaon expressway has collected ₹603.33 crore from 2015 to 2019. It is a BOT project. The MCEPL, a consortium of banks, took over the toll operations in 2014 after the Sirhaul toll plaza was removed.
",National News
88,Hindustan Times,13/01/2020,https://www.hindustantimes.com/cities/status-of-women-in-india-report-10-of-working-women-face-sexual-harassment-at-workplace/story-dylBjlbhGRC9276g4ITZcL.html,Status of Women in India report: 10% of working women face sexual harassment at workplace,"PUNE A total of 10 per cent of working women face sexual harassment at workplace; 37. 14 per cent women in India are facing issues related to their health; while 44.8 per cent of women are employed, according to the ‘Status of Women in India report’. The report, a compilation of the work undertaken by Drishti Stree Adhyayan Prabhodhan Kendra, over the past two years, was published and inaugurated by Murlidhar Mohol, Pune mayor and Shashikala Wanjari, vice-chancellor SNDT Women’s University, on Monday at Bal Gandharva Ranga Mandir. Maneesha Kothekar, project director of the report said, “Through this report, it was found that 44.8 women are employed in different fields and 10 per cent women face sexual harassment at the workplace. The issues which they face is there no crèche, no canteen, no transportation, no restroom and no washroom facilities provided to them. While 37.14 per cent of women have various health issues in which the highest is of 44 per cent of women has Arthritis health problem.”","The ""Status of Women in India"" report revealed that 44.8% of women in India are employed, but 10% of them face sexual harassment at their workplaces. Additionally, 37.14% of women reported health issues, with arthritis being the most common. The report also highlighted the lack of facilities for working women, such as crèches, canteens, transportation, restrooms, and washrooms.",Crime and Justice
89,Hindustan Times,14/01/2020,https://www.hindustantimes.com/videos/india-news/india-japan-joint-exercise-japanese-vessel-echigo-arrives-in-chennai/video-jy6OoldQzC1RnYONcx865O.html,India-Japan joint exercise: Japanese vessel ‘Echigo’ arrives in Chennai,"Japan's Coast Guard Ship 'Echigo' has arrived in Chennai on a five-day goodwill visit. It will be participating in the Annual Joint Exercise 'Sahyog-Kaijin' with the Indian Coast Guard. This is the 19th such exercise being conducted between the two Coast Guards since 2000. The exercise is aimed at further strengthening ties between the two nations. Four Indian Coast Guard ships, their aircraft and a vessel from the Chennai-based National Institute of Ocean Technology - NIOT are participating in the exercise along with the Japanese vessel.",Japan's Coast Guard Ship 'Echigo' has arrived in Chennai on a five-day goodwill visit. It will be participating in the Annual Joint Exercise 'Sahyog-Kaijin' with the Indian Coast Guard. This is the 19th such exercise being conducted between the two Coast Guards since 2000,National News
90,Hindustan Times,15/01/2020,https://www.hindustantimes.com/mumbai-news/bjp-govt-neglected-rural-development/story-FKvx7olG4SAJAYQBEqOaVO.html,‘BJP govt neglected rural development’,"State rural development minister Hasan Mushrif on Tuesday said the previous government led by the Bharatiya Janata Party (BJP) neglected rural development and focussed only on urban areas, and alleged this had resulted in bad condition of roads in rural areas. He said, “The Maharashtra Vikas Aghadi (MVA) government will focus on striking a balance between both rural and urban areas when it comes to development.”“The priority of the previous government was urban areas which has impacted the development in rural areas. They took up many big infrastructure projects for urban areas, but nothing for rural areas. As a result, rural roads are in a very bad shape. The condition of primary schools and public health also needs improvement,” Mushrif said. He said, “The development of rural areas will be on our priority list. The development of the country is possible only when a balance is maintained between urban and rural areas.”

Mushrif added that his department may lose funds in this financial year. “We have two months to utilise the funds which may not be possible, and hence we have urged the finance department to extend the deadline,” he said.","The Maharashtra Vikas Aghadi (MVA) government will focus on striking a balance between rural and urban development, unlike the previous BJP government which neglected rural areas. The previous government focused on big infrastructure projects for urban areas, leading to the poor condition of rural roads, primary schools, and public health. The MVA government will prioritize the development of rural areas, as it believes that the development of the country depends on a balance between urban and rural areas. The MVA government is also concerned about losing funds in this financial year and has urged the finance department to extend the deadline for utilizing the funds.",Politics
91,Hindustan Times,16/01/2020,https://www.hindustantimes.com/bhopal/i-t-dept-s-rs-3-5-cr-penalty-notice-leaves-ludhiana-bpo-staffer-shocked/story-gLGpa4giZBQYWdzLdbtg2J.html,I-T dept’s Rs 3.5-cr penalty notice leaves Ludhiana BPO staffer ‘shocked’,"A man from Bhind district in Madhya Pradesh, who currently works in a BPO firm in Punjab, has said he got the shock of his life when he received an Income Tax Department notice, asking him to pay Rs 3.49 crore penalty for the alleged transactions of Rs 132 crore done in 2011-12. Ravi Gupta, who works an assistant manager with a Business Process Outsourcing (BPO) company in Ludhiana, said that in the notice issued last month, the I-T department asked him to explain the transactions of Rs 132 crore made in a bank account opened in Mumbai using his Permanent Account Number (PAN). Gupta said that in 2011-12 he worked at a BPO in Indore, drawing an annual salary of Rs 60,000. He claimed that some fraudsters might have opened a bank account using his PAN, but he had no clue about it.

“The I-T office in Gwalior issued the notice to me on December 17 (2019), in which it asked me to pay Rs 3.49 crore penalty by January 17. The notice came as a shock to me,” Gupta said on Thursday. He said that although he raised the issue with the I-T officials in Gwalior saying he was not aware of the transaction, they were not ready to budge","A man from Madhya Pradesh received an Income Tax notice asking him to pay Rs 3.49 crore in penalty for alleged transactions of Rs 132 crore in 2011-12. The man, who works in a BPO firm in Punjab, claimed that he had no knowledge of these transactions and that his PAN number might have been used fraudulently. He raised the issue with the I-T officials but was not satisfied with their response.",Local News
92,Hindustan Times,17/01/2020,https://www.hindustantimes.com/india-news/indo-pak-tension-hits-border-economies/story-stymReB4DOLA1HYKXUB1pJ.html,Indo-Pak tension hits border economies,"The USD 2.6 billion bilateral trade between India and Pakistan has not ever been a significant contributor to the larger economies of the estranged neighbours. But trade suspensions and restrictive customs regimes in the wake of escalated tensions have had a deleterious impact on the economies of border areas in both countries. As things stand today, Amritsar district is losing ₹30 crore it earned each month through the Attari-Wagah border trade. That works out to ₹75 lakh loss per day, directly affecting 9,354 families, including those of traders (1,724) and others dependent for livelihood on trucks (4,050), customs house agents (126), labour (2,507), dhabas and vendors (176), fuel stations (32), tyre repair and mechanic shops (51), weigh bridges (8), vehicle parking (80) and other ancillary activities (600).","The bilateral trade between India and Pakistan has not been a significant contributor to their economies. However, trade suspensions and restrictions due to tensions have negatively impacted border areas in both countries. Amritsar district, for example, is losing ₹30 crore monthly due to the closure of the Attari-Wagah border trade. This affects 9,354 families, including traders, truck drivers, customs agents, laborers, and others dependent on the trade.",National News
93,Hindustan Times,18/01/2020,https://www.hindustantimes.com/world-news/hong-kong-airline-made-woman-take-pregnancy-test/story-OooUcZhStrfppYghNBEGSK.html,Hong Kong airline forces woman to take a pregnancy test,"Midori Nishida, 25, was escorted to a public toilet at Hong Kong airport and told to urinate on a strip in November before being granted permission to board her Hong Kong Express flight to the US territory of Saipan. She had declared in a questionnaire at check-in that she was not pregnant but airline staff nevertheless requested she undergo a “fit-to-fly” assessment designed for women with a body size or shape resembling a pregnant woman.

The test result came up negative.

“It was very humiliating and frustrating,” Nishida told the Wall Street Journal.

She grew up on Saipan and her family have lived on the island for more than 20 years.

The airline apologised to Nishida and said the practice had been discontinued when contacted by AFP. We have immediately suspended the practice while we review it. We’d like to apologise for the distress caused,” the airline said in a statement.

Hong Kong Express said it had taken “action on flights to Saipan from February 2019 to help ensure US immigration laws were not being undermined”, in response to concerns raised by the island’s authorities.

“We recognise the significant concerns this practice has caused,” it said.

Saipan is a popular destination for women wanting to give birth on US soil to secure American citizenship for their child.

In 2018 nearly 600 babies were born to tourists in the Northern Mariana Islands, which sit just north of Guam, also a US territory -- a figure greater than the number of babies born to locals.","A Japanese woman was forced to urinate on a strip at Hong Kong airport to prove she was not pregnant before being allowed to board her flight to Saipan. The airline apologized and said the practice had been discontinued. The practice was implemented in 2019 to comply with US immigration laws. Saipan is a popular destination for women wanting to give birth on US soil to secure American citizenship for their child.   



",International News
94,Hindustan Times,19/01/2020,https://www.hindustantimes.com/indians-abroad/indian-school-teacher-becomes-1st-foreigner-to-contract-sars-like-china-virus/story-o9iJRNgKOrRxCmAEUcgQzK.html,Indian school teacher becomes 1st foreigner to contract SARS-like China virus,"A 45-year-old Indian school teacher is undergoing treatment for a new strain of pneumonia outbreak spreading in the Chinese cities of Wuhan and Shenzhen, becoming the first foreigner to have contracted the mysterious SARS-like coronavirus. Doctors on Monday confirmed that she was suffering from the virus and is being treated for it, her husband Ashuman Khowal told PTI from Shenzhen.

The virus has caused alarm because of its connection to SARS (Severe Acute Respiratory Syndrome) which killed nearly 650 people in China and Hong Kong in 2002-2003.

Khowal, a businessman from Delhi, said Maheswari was being treated in the intensive care unit and is currently on a ventilator and other supporting systems.

Khowal, who is allowed to visit the patient for a few hours every day, said she was unconscious and doctors have said she could take a long time to recover.","
A 45-year-old Indian school teacher is undergoing treatment for a new strain of pneumonia outbreak spreading in the Chinese cities of Wuhan and Shenzhen. She is the first foreigner to have contracted the mysterious SARS-like coronavirus. Doctors confirmed that she was suffering from the virus and is being treated for it. Her husband, Ashuman Khowal, said that she was being treated in the intensive care unit and is currently on a ventilator and other supporting systems. Khowal, who is allowed to visit the patient for a few hours every day, said that she was unconscious and doctors have said that she could take a long time to recover",National News
95,The Hindu,14/09/2024,www.thehindu.com/sci-tech/technology/openais-stunning-150-billion-valuation-hinges-on-upending-corporate-structure-sources-say/article68641515.ece,OpenAI's stunning $150 billion valuation hinges on upending corporate structure,"OpenAI’s new financing round is expected to come in the form of convertible notes. | Photo Credit: Reuters

OpenAI's new financing round is expected to come in the form of convertible notes, according to sources with direct knowledge of the matter, who said its $150 billion valuation will be contingent on whether the ChatGPT-maker can upend its corporate structure and remove a profit cap for investors.

The details of the conditions of the $6.5 billion funding, which have not been previously reported, show how far OpenAI, the most valuable AI startup in the world, has come from a research-based non-profit, and the structural changes it's willing to make to attract ever more investment to fund its expensive pursuit of artificial general intelligence (AGI), or AI that surpasses human intelligence.

The outsized funding round has seen strong investor demand and could be finalized in the next two weeks, given the rapid growth of OpenAI's revenue, sources added.

Existing investors such as Thrive Capital, Khosla Ventures, as well as Microsoft are expected to participate. New investors including Nvidia and Apple also plan to invest. Sequoia Capital is also in talks to come back as a returning investor.

If the restructuring is unsuccessful, OpenAI would need to renegotiate its valuation with investors at which their shares will be converted, likely at a lower number, sources told Reuters, who requested anonymity to discuss private matters.","OpenAI is raising $6.5 billion in a new financing round, valuing the company at $150 billion. The round is contingent on restructuring the company to remove a profit cap for investors. Existing and new investors are participating. If the restructuring fails, OpenAI may need to renegotiate the valuation at a lower number.",Technology and Gadgets
96,The Hindu,14/09/2024,www.thehindu.com/sci-tech/diabetes-drug-may-lower-death-rate-in-obese-people-study/article68638805.ece,"Excess body weight, especially abdominal obesity, is associated with several health problems like diabetes, high blood pressure, and cardiovascular disease. Various weight reduction methods have been tried over the years, most have not stood the test of time","Excess body weight, especially abdominal obesity, is associated with several health problems like diabetes, high blood pressure, and cardiovascular disease. Various weight reduction methods have been tried over the years, most have not stood the test of time
Excess body weight, especially abdominal obesity, is associated with several health problems like diabetes, high blood pressure, and cardiovascular disease. Various weight reduction methods have been tried over the years, most have not stood the test of time.
Recently, a class of drugs called GLP-1 agonists, originally used for diabetes, has gained attention for its role in weight loss. These drugs mimic the gut hormone GLP-1, which enhances insulin release and slows digestion, promoting a sense of fullness. Among these drugs, semaglutide has been in use for diabetes since 2017. In higher doses, it is now used as a weight-loss drug in Western countries. A study published recently in the Journal of the American College of Cardiology revealed promising results from its use in people without diabetes.","The article highlights the potential of GLP-1 agonists, particularly semaglutide, in reducing mortality rates in obese individuals. It discusses the association between excess body weight, especially abdominal obesity, and various health problems. GLP-1 agonists mimic a gut hormone that enhances insulin release and slows digestion, promoting weight loss. The study in the Journal of the American College of Cardiology found promising results from the use of semaglutide in people without diabetes.",Health and Wellness
97,the hindu,14/09/2024,www.thehindu.com/sci-tech/health/endometriosis-pain-leads-to-missed-school-and-work-in-two-thirds-of-women-with-the-condition-new-study-finds/article68641938.ece,"Endometriosis pain leads to missed school and work in two-thirds of women with the condition, new study finds","More than two-thirds of women with endometriosis missed school or work due to pain from the condition, in a study of more than 17,000 women between the ages of 15 and 44 in the Unites States. That is a key finding of new research published in the Journal of Endometriosis and Uterine Disorders.
Our study also found that Black and Hispanic women were less likely to be diagnosed with endometriosis compared with white women. Interestingly, women who identified as part of the LGBTQ community had a higher likelihood of receiving an endometriosis diagnosis than heterosexual women.
We used data from the National Health and Nutrition Examination Survey, which is administered by the Centers for Disease Control and Prevention, for the period 2011 to 2019. The survey data use adjusted weights to account for the racial composition of U.S. society, meaning our sample of 17,619 women represents 51,981,323 women of the U.S. population.
We specifically examined factors related to quality of life, such as poverty, education and functional impairment, as well as race and sexual orientation.","The study highlights the significant impact of endometriosis on women's lives, particularly in terms of missed school or work due to pain. It also reveals disparities in diagnosis based on race and sexual orientation. The study used data from the National Health and Nutrition Examination Survey to examine factors related to quality of life and endometriosis diagnosis.",Health and Wellness
